Order,Property Name,Parent Property Id,Parent Property Name,Street Number,Street Name,Borough,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),DOF Benchmarking Submission Status
1,The Argonaut Building,,,Not found,Not found,Manhattan,Office,"Bank Branch, Office",Office,164754.0,Bank Branch,4662.0,,,1909,95.0,Whole Building,Whole Building,90.0,138.4,141.0,53.8,56.2,11.3,0.1,,,,,,1133475.1,1435754.7,16672.2,6551394.1,1920103.6,732.4,76.3,656.1,3635.5,Not found
3,Cathedral Preparatory Seminary,,,Not found,Not found,Queens,K-12 School,K-12 School,K-12 School,94380.0,,,,,1963,100.0,Whole Building,,100.0,43.5,46.8,28.4,31.3,2.0,0.2,,,,,,,2068300.1,23243.7,616343.7,184131.9,164.5,109.9,54.6,102.9,Not found
4,The Nomad Hotel,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,125000.0,,,,,1999,85.0,Whole Building,Whole Building,83.0,271.1,274.7,130.2,133.7,18.8,0.7,,,,,,,8245445.1,86776.9,8033914.4,2354605.3,1150.2,438.0,712.3,10762.6,Not found
5,10 West 27 Street Corp,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,50000.0,,,,,1994,100.0,Whole Building,,27.0,163.0,167.9,76.5,80.8,11.7,0.4,,,,,,,1848519.4,20520.9,1976691.9,582516.1,273.4,98.2,175.3,790.1,Not found
6,Westbury Realty,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,50000.0,,,,,2012,0.0,Whole Building,Whole Building,99.0,64.2,64.2,20.5,20.5,6.0,,,,,,,,,,1022951.6,299809.9,90.7,0.0,90.7,143.0,Not found
7,Union Temple,,,Not found,Not found,Brooklyn,Worship Facility,"Office, Other, Other - Recreation, Worship Facility",Worship Facility,28086.0,Other - Recreation,28006.0,Office,9134.0,1925,100.0,Whole Building,,,61.3,,38.9,,,,,,2092618.0,,,,,,755416.8,,224.5,157.6,67.0,1380.0,Not found
8,155 West 66th Street Condominium,,,Not found,Not found,Manhattan,Hotel,"Hotel, Non-Refrigerated Warehouse, Other, Supermarket/Grocery Store",Hotel,120780.0,Supermarket/Grocery Store,13799.0,Non-Refrigerated Warehouse,4455.0,1999,100.0,Whole Building,Tenant areas (all energy loads),,243.4,244.6,117.7,120.1,15.5,0.1,,,,,,7195772.2,1902140.0,19893.7,7622453.3,2198465.5,1254.6,101.0,1153.6,2641.6,Not found
9,38-20 Bowne Street Flushing,,,Not found,Not found,Queens,Multifamily Housing,Other - Lodging/Residential,Other - Lodging/Residential,193975.0,,,,,1975,100.0,Whole Building,Whole Building,,169.1,176.6,53.9,56.2,16.5,,,,,,,,,,10446179.3,3197137.7,926.2,0.0,926.2,18570.4,Not found
10,Queens- Queen Grand Realty,,,Not found,Not found,Queens,Distribution Center,Distribution Center,Distribution Center,200000.0,,,,,1950,100.0,Whole Building,Whole Building,37.0,99.2,103.2,42.4,45.4,7.8,0.2,,,,,,,3243162.2,37728.7,5234449.5,1556499.9,636.3,172.3,464.1,1003.2,Not found
11,989 East 149th,"6224246, 6224246","955/989, 955/989",Not found,Not found,Bronx,Distribution Center,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,150000.0,,,,,1977,100.0,Whole Building,Whole Building,100.0,8.9,10.1,8.5,9.6,,0.1,,,,,,,1277797.0,14365.1,,,67.9,67.9,0.0,521.6,Not found
12,955 East 149th,"6224246, 6224246","955/989, 955/989",Not found,Not found,Bronx,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,190000.0,Refrigerated Warehouse,190000.0,,,1969,100.0,Whole Building,Whole Building,,10.3,12.0,9.8,11.4,,0.1,,,,,,,3725146.9,43309.5,,,197.9,197.9,0.0,404.3,Not found
13,MBD Brooklyn,,,Not found,Not found,Brooklyn,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,721396.0,,,,,1931,100.0,Whole Building,Whole Building,97.0,62.1,61.7,53.1,52.7,0.9,0.5,,,,,,,36084400.2,357799.8,2204474.6,646094.5,2112.1,1916.6,195.4,2400.0,Not found
15,810 Humboldt St.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,,,1963,100.0,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,,,,,,250272.9,2887.9,844769.9,247587.9,88.2,13.3,74.9,1654.6,Not found
16,1155 Manhattan Ave.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,360000.0,,,,,1868,100.0,Whole Building,Whole Building,,31.0,30.9,10.2,10.2,2.8,0.0,,,,,,,0.0,0.0,3481604.7,1020399.8,309.6,0.0,309.6,1572.0,Not found
17,810 Humboldt St.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,,,1963,100.0,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,,,,,,250272.9,2887.9,844769.9,247587.9,88.2,13.3,74.9,1654.6,Not found
18,1155 Manhattan Ave.,,,Not found,Not found,Brooklyn,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,360000.0,,,,,1868,100.0,Whole Building,Whole Building,,31.0,30.9,10.2,10.2,2.8,0.0,,,,,,,0.0,0.0,3481604.7,1020399.8,309.6,0.0,309.6,1572.0,Not found
19,Jopin Realty,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,61950.0,,,,,1930,100.0,Whole Building,Whole Building,,93.5,,69.9,,,,,,,,,,3738819.4,,593831.1,,251.2,198.6,52.6,,Not found
20,Bronx Center for Rehab,,,Not found,Not found,Bronx,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),64600.0,,,,,1950,100.0,Whole Building,Whole Building,100.0,382.1,,161.4,,,,,,,,,,3857735.8,,6571546.6,,787.5,204.9,582.6,8782.2,Not found
21,Centers FC,,,Not found,Not found,Bronx,Office,Office,Office,69851.0,,,,,1905,100.0,Whole Building,,100.0,0.8,,0.6,,,,,,,,,,35678.6,,6410.0,,2.5,1.9,0.6,424.9,Not found
22,Carroll Place,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,68240.0,,,,,1936,100.0,Whole Building,Whole Building,100.0,135.4,,102.4,,,,,,,,,,6081852.7,,908795.5,,403.6,323.0,80.6,,Not found
23,Fashion Tower,,,Not found,Not found,Manhattan,Office,"Office, Retail Store",Office,99117.0,Retail Store,8092.0,,,1923,100.0,Whole Building,Whole Building,94.0,112.2,,49.0,,8.5,0.0,,,2095950.5,,,,396.8,4.5,3158235.2,912068.0,437.8,157.8,280.0,1690.4,Not found
24,2626 Homecrest Avenue,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,127500.0,,,,,1954,100.0,Whole Building,Whole Building,72.0,111.8,115.4,70.5,73.8,5.3,0.6,,0.0,,0.0,,,6677050.0,70917.4,2305455.4,678001.6,559.1,354.7,204.4,7807.4,Not found
25,The Helux,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,319967.0,,,,,1998,95.0,Whole Building,Whole Building,76.0,110.8,114.7,81.2,85.4,3.5,0.7,,,,,,,22065691.9,234833.8,3909579.8,1124985.6,1518.6,1172.0,346.6,12865.3,Not found
26,Wendi Realty LLC,,,Not found,Not found,Queens,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,120200.0,,,,,1940,100.0,Whole Building,Whole Building,90.0,89.9,88.9,28.6,28.3,8.3,,,,,,,,,,3440512.5,996961.6,305.0,0.0,305.0,1227.4,Not found
27,1 MTC,,,Not found,Not found,Brooklyn,Office,"Office, Parking, Retail Store",Office,871546.0,Parking,65226.0,Retail Store,60015.0,1991,100.0,Whole Building,Whole Building,64.0,222.0,222.8,91.5,92.2,17.7,0.3,,669700.6,,,,,28433975.0,290065.7,56145655.7,16455348.4,6537.8,1560.0,4977.8,20741.2,Not found
28,650 Fifth Avenue,,,Not found,Not found,Manhattan,Office,"Fast Food Restaurant, Food Sales, Office, Retail Store",Office,311592.6,Retail Store,75521.8,Food Sales,355.6,1979,85.0,Whole Building,,89.0,163.1,166.0,68.6,71.0,12.2,,,,,,,10443801.1,,,16134500.4,4728751.0,2123.9,0.0,2123.9,6328.8,Not found
29,UJA 732 Lexington Avenue,,,Not found,Not found,Manhattan,Office,"Data Center, Office",Office,268399.0,Data Center,1071.0,,,1953,95.0,Whole Building,Whole Building,95.0,134.4,135.8,50.6,52.2,11.1,,,,,,,3431667.1,,,10215698.6,2977714.3,1133.6,0.0,1133.6,4800.0,Not found
30,Wendi Realty LLC,,,Not found,Not found,Queens,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,120200.0,,,,,1940,100.0,Whole Building,Whole Building,90.0,89.9,88.9,28.6,28.3,8.3,,,,,,,,,,3440512.5,996961.6,305.0,0.0,305.0,1227.4,Not found
31,Wendi Realty LLC,,,Not found,Not found,Queens,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,120200.0,,,,,1940,100.0,Whole Building,Whole Building,90.0,89.9,88.9,28.6,28.3,8.3,,,,,,,,,,3440512.5,996961.6,305.0,0.0,305.0,1227.4,Not found
32,"staten island kitchen cabinets mfg, inc",,,Not found,Not found,Staten Island,Other,"Non-Refrigerated Warehouse, Office, Other",Other,37500.0,Non-Refrigerated Warehouse,36300.0,Office,8700.0,2009,100.0,Whole Building,,,47.1,48.2,20.0,21.0,3.7,0.1,,,,,,,618359.3,6996.5,1031756.7,302390.5,124.3,32.8,91.5,27.1,Not found
33,Sovereign - 425 East 58th Street,,,Not found,Not found,Manhattan,Multifamily Housing,"Medical Office, Multifamily Housing, Parking, Retail Store",Multifamily Housing,903532.0,Parking,73500.0,Medical Office,9007.0,1972,100.0,Whole Building,Whole Building,,203.8,203.8,129.7,129.7,9.5,0.9,,2559996.7,,,,,86424630.4,864246.3,29697683.7,8703892.2,7413.4,4780.4,2633.0,47279.9,Not found
34,140-25 Ash Avenue,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,28432.0,,,,,1928,100.0,Whole Building,,,,,,,,,,,,,,,,,,,,0.0,,,Not found
35,140-25 Ash Avenue,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,28432.0,,,,,1928,100.0,Whole Building,,100.0,41.5,40.9,13.2,13.0,3.8,,,,,,,,,,375331.4,108544.0,33.3,0.0,33.3,,Not found
36,Clinton Towers/PP&H,,,Not found,Not found,Bronx,Other,Other,Other,82633.0,,,,,1973,100.0,Whole Building,,,363.8,381.4,161.4,168.3,28.7,0.7,,,,,,,5653739.9,58122.5,7682349.3,2371778.1,981.4,300.3,681.1,1245827.1,Not found
37,Clinton Tower/PP&H,,,Not found,Not found,Bronx,Other,Other,Other,82856.0,,,,,1977,100.0,Whole Building,,,313.1,327.6,118.9,123.5,27.7,0.3,,,,,,,2392119.3,23921.2,7461053.3,2299122.2,788.5,127.1,661.5,974348.4,Not found
38,Clinton Tower/ PP & H,,,Not found,Not found,Bronx,Other,Other,Other,81824.0,,,,,1977,100.0,Whole Building,,,337.6,350.6,149.6,154.6,26.4,0.6,,,,,,,5178096.2,52793.5,7065173.4,2160552.4,901.4,275.0,626.4,1083729.8,Not found
39,Sycamore Court,,,Not found,Not found,Bronx,Other,Other,Other,96250.0,,,,,2011,100.0,Whole Building,Whole Building,,44.8,48.6,16.8,18.2,4.1,0.0,,,,,,,370167.7,3977.9,1250986.5,398029.0,130.6,19.7,110.9,3640.8,Not found
40,Center for Automotive Education and Training,,,Not found,Not found,Queens,Other - Education,Other - Education,Other - Education,92705.0,,,,,2005,100.0,Whole Building,Whole Building,,152.3,156.1,68.7,73.0,11.1,0.4,,,,,,,2817938.3,32450.7,3554617.0,1032722.6,464.8,149.7,315.2,1829.8,Not found
41,Sample Multifamily,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,44000.0,,,,,1980,100.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,Not found
42,Jay Cee of New York Corp.,,,Not found,Not found,Manhattan,Office,Office,Office,32500.0,,,,,1904,85.0,Whole Building,Whole Building,59.0,119.1,,61.4,,,,,1123872.1,,,,,2346.7,,870169.5,,160.7,83.5,77.1,71712.1,Not found
43,New York Midtown Corp,,,Not found,Not found,Manhattan,Office,Office,Office,39655.0,,,,,1923,85.0,Whole Building,Whole Building,52.0,131.0,,64.0,,,,,358179.0,,,,,,,,,185.7,77.8,,1330.9,Not found
44,The Salem House,,,Not found,Not found,Manhattan,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,65000.0,Parking,10000.0,,,1955,100.0,Whole Building,,,201.9,,146.5,,,,,,,,,,8025038.8,,1495515.8,,558.8,426.2,132.6,4661.1,Not found
45,Davidson Avenue,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,63108.0,,,,,1926,100.0,Whole Building,Whole Building,,133.7,,100.5,,,,,,,,,,5492195.8,,851396.1,,367.2,291.7,75.5,,Not found
46,Whitney Museum of American Art,,,Not found,Not found,Manhattan,Museum,Museum,Museum,220000.0,,,,,2015,100.0,Whole Building,Whole Building,,345.7,351.9,170.2,175.5,23.5,1.0,,,,,,,19855781.4,209649.5,17580074.3,5172404.4,2613.3,1054.6,1558.6,9446.6,Not found
47,madison square garden,,,Not found,Not found,Manhattan,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,1102735.0,,,,,1968,100.0,Whole Building,,,304.4,308.4,122.4,125.7,23.9,0.1,,,,,,38591282.7,6441106.3,66883.2,89965163.2,26367277.9,2904.5,342.1,2562.4,,Not found
48,JOLLY HOTEL USA,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,135200.0,,,,,1930,100.0,Whole Building,,70.0,191.9,199.2,119.2,126.4,9.8,,,,11569322.7,,,,,,4541399.4,1331007.9,1273.7,871.0,402.6,8762.8,Not found
49,"605 East 132 Street,LLC",,,Not found,Not found,Bronx,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,38150.0,,,,,1931,80.0,,Whole Building,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,Not found
50,43rd Ave Enterprises Corp.,,,Not found,Not found,Queens,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,40480.0,,,,,1931,100.0,Whole Building,Whole Building,,49.4,,21.1,,,,,,,,,,326400.0,,528177.4,,64.2,17.3,46.8,18428.5,Not found
51,Staples,,,Not found,Not found,Queens,Retail Store,Retail Store,Retail Store,14700.0,,,,,1961,100.0,Whole Building,Whole Building,30.0,235.0,234.4,81.4,82.1,20.8,0.1,,,,,,,145600.0,1642.9,1051476.0,305505.5,101.0,7.7,93.2,74.1,Not found
52,43rd Ave Enterprises Corp.,,,Not found,Not found,Queens,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,40480.0,,,,,1931,100.0,Whole Building,Whole Building,,49.4,,21.1,,,,,,,,,,326400.0,,528177.4,,64.2,17.3,46.8,18428.5,Not found
53,university club of New York,,,Not found,Not found,Manhattan,Hotel,Hotel,Hotel,200000.0,,,,,1899,100.0,Whole Building,Whole Building,59.0,207.0,207.9,72.7,73.1,18.4,0.1,,,,,,18433.3,2023996.8,20424.0,12499014.8,3679123.0,1216.9,107.5,1109.4,168.7,Not found
54,Jamaica Ave Property,,,Not found,Not found,Queens,Retail Store,Retail Store,Retail Store,54978.0,,,,,1952,90.0,Whole Building,,90.0,104.6,105.5,38.9,39.7,9.0,0.0,,376188.0,,,,,79000.0,860.4,1684661.4,494101.3,181.5,32.1,149.4,,Not found
55,1901 Ocean Parkway - Sephardic Community Center,,,Not found,Not found,Brooklyn,Other - Education,Other - Education,Other - Education,86690.0,,,,,1981,100.0,Whole Building,,,381.1,382.5,208.9,210.1,22.7,1.3,,,,,,,11393221.3,115031.1,6712632.4,1967359.8,1200.3,605.1,595.1,,Not found
57,Building 1,6128948,Howard,Not found,Not found,Queens,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,150000.0,Parking,5000.0,,,1951,100.0,Whole Building,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,Not found
58,Building 2,6128948,Howard,Not found,Not found,Queens,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,150000.0,Parking,5000.0,,,1951,100.0,Whole Building,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,Not found
59,LEXINGTON PARC CONDOMINIUM,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,75000.0,,,,,1989,100.0,Whole Building,Whole Building,97.0,79.9,79.9,60.2,60.2,2.6,0.0,,,3793518.4,,,,56000.0,560.0,668752.0,196000.0,347.9,288.6,59.3,4678.3,Not found
60,76 Fairview Corp,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,49000.0,,,,,1936,95.0,Whole Building,,88.0,84.6,,77.1,,0.5,0.8,,269486.4,,,,,3418106.2,37281.1,90107.0,26408.8,209.5,201.6,8.0,,Not found
61,Montclair Gardens Inc.,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,104500.0,,,,,1944,100.0,Whole Building,Whole Building,91.0,92.2,100.4,83.0,90.7,0.7,0.9,,,,,,,8413912.9,92265.9,256342.4,75129.6,469.6,446.9,22.7,8035.9,Not found
62,Surfair Equities LTD,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,99552.0,,,,,1937,100.0,Whole Building,Whole Building,,,,,,0.4,,,,,,,,,,120723.5,35382.0,,,10.7,,Not found
63,Cross Bay Co-op Corp,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,120700.0,,,,,1959,100.0,Whole Building,Whole Building,4.0,168.7,173.7,115.4,120.8,6.6,1.0,,,,,,,11189751.2,118732.9,2741415.8,793803.0,837.4,594.3,243.1,8269.9,Not found
64,Cross Bay Co-op Corp,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,120700.0,,,,,1959,100.0,Whole Building,Whole Building,4.0,168.7,173.7,115.4,120.8,6.6,1.0,,,,,,,11189751.2,118732.9,2741415.8,793803.0,837.4,594.3,243.1,8269.9,Not found
65,Cord Meyer Devlopment,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,50000.0,,,,,1950,90.0,Whole Building,Whole Building,,691.4,,485.8,,25.4,,,,,,,,19956511.5,,4335479.0,1270656.1,1444.4,1060.0,384.4,,Not found
66,Cord Meyer Development LLC Bay1-1,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,80740.0,,,,,1950,90.0,Whole Building,Whole Building,39.0,122.8,136.4,116.9,129.9,,1.3,,,,,,,9442347.4,104856.7,,,501.5,501.5,0.0,,Not found
67,Bay Terrace Co OP 4,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,69000.0,,,,,1950,90.0,Whole Building,Whole Building,,194.3,201.0,103.8,110.2,11.9,0.7,,,,,,,4346326.9,47944.6,2817056.4,824372.8,480.6,230.9,249.8,,Not found
68,Cord Meyer Development LLC Bay 4-1,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,69000.0,,,,,1960,90.0,Whole Building,Whole Building,32.0,129.1,142.9,122.9,136.1,,1.4,,,,,,,8483120.3,93905.6,,,450.6,450.6,0.0,,Not found
69,Bay Terrace Co Op Section 9,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,99000.0,,,,,1960,100.0,Whole Building,Whole Building,1.0,196.6,209.5,134.9,147.1,7.7,1.2,,,,,,,10745294.0,119536.6,2606495.1,763919.9,801.8,570.7,231.1,,Not found
70,1487 SCHENECTADY AVE,,,Not found,Not found,Brooklyn,Distribution Center,Distribution Center,Distribution Center,88000.0,,,,,1979,100.0,Whole Building,Whole Building,83.0,42.8,42.8,13.8,13.8,4.0,0.0,,,,,,,21060.3,233.0,1191376.4,349172.4,1.1,1.1,0.0,293.2,Not found
71,150 East 35th,,,Not found,Not found,Manhattan,College/University,College/University,College/University,39905.0,,,,,1912,100.0,Whole Building,Whole Building,,97.3,101.8,41.2,42.9,8.0,0.2,,,,,,,614285.3,6300.6,1031572.1,317563.9,124.1,32.6,91.5,1973.2,Not found
72,2436 LHT,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,42864.0,,,,,1930,100.0,Whole Building,,26.0,146.2,145.6,117.4,117.2,3.7,0.0,,,4296050.0,,,,185381.8,1853.8,551624.9,159496.2,382.2,333.3,48.9,,Not found
73,Central High School,,,Not found,Not found,Brooklyn,K-12 School,K-12 School,K-12 School,28581.0,,,,,1999,100.0,Whole Building,Whole Building,96.0,81.7,81.7,26.0,26.0,7.6,,,,,,,,,,743739.5,217977.6,65.9,0.0,65.9,331.0,Not found
74,Parking Garage E,,,Not found,Not found,Manhattan,College/University,College/University,College/University,25984.0,,,,,1922,100.0,Whole Building,Whole Building,,25.7,26.2,8.2,8.3,2.4,,,,,,,,,,212340.1,63506.0,18.8,0.0,18.8,127.0,Not found
75,3240 Henry Hudson parkway LLC,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,163197.0,,,,,1938,100.0,Whole Building,,100.0,61.8,65.8,55.0,59.0,0.9,,,8492658.4,,,,,,,479394.1,140502.4,672.7,630.2,42.5,6007.6,Not found
76,900 Avenue H LLC,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,77000.0,,,,,1937,100.0,Whole Building,,72.0,98.4,103.9,89.5,94.7,0.6,0.9,,,,,,,6722745.3,71267.2,165242.5,48429.8,371.7,357.1,14.7,8234.2,Not found
77,1561 E. 13th Street LLC,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,71000.0,,,,,1940,100.0,Whole Building,,,85.0,91.3,78.0,83.9,0.4,0.8,,,,,,,5429559.4,58541.2,105903.5,31038.5,297.8,288.4,9.4,2799.3,Not found
78,2016 Avenue N LLC,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,63000.0,,,,,1935,100.0,Whole Building,,91.0,84.5,89.7,77.0,81.9,0.5,0.8,,,,,,,4739826.4,50516.2,109765.3,32170.4,261.5,251.8,9.7,2460.3,Not found
79,1701 W 3rd Street LLC,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,121680.0,,,,,1940,100.0,Whole Building,,89.0,82.9,87.8,73.5,78.2,0.8,0.8,,,,,,,8611425.0,91766.6,334421.8,98013.4,487.0,457.4,29.6,5837.8,Not found
80,150-74th Street LLC,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,57036.0,,,,,1930,100.0,Whole Building,,82.0,98.2,105.2,87.7,94.4,0.9,0.9,,,,,,,4833716.8,52145.4,166805.9,49203.7,271.5,256.7,14.8,2005.5,Not found
81,175-27 Wexford Terrace LLC,,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,71620.0,,,,,1938,100.0,Whole Building,,52.0,117.6,126.3,106.7,115.0,0.8,1.1,,,,,,,7454293.8,80459.3,188600.3,55759.0,412.7,395.9,16.7,6463.2,Not found
82,sml realty llc,,,Not found,Not found,staten island,Distribution Center,Other,Other,29566.0,,,,,1989,100.0,Whole Building,Whole Building,,48.7,,27.3,,2.8,,,,,,,,523756.3,,283837.5,82595.4,53.0,27.8,25.2,77.7,Not found
83,1870 Pelham Pkwy South,,,Not found,Not found,Bronx,Other,Other,Other,60000.0,,,,,2007,100.0,Whole Building,Whole Building,,93.8,94.9,40.0,41.3,7.2,0.2,,,,,,,910973.3,9987.2,1488092.7,433769.0,180.3,48.4,131.9,,Not found
84,zumckrealty,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,80000.0,,,,,1939,80.0,Whole Building,,3.0,172.7,183.0,124.0,133.8,6.0,1.1,,,,,,,8294332.0,90815.2,1626453.3,476686.1,584.8,440.6,144.2,,Not found
85,Parnes Clinic,,,Not found,Not found,Bronx,College/University,College/University,College/University,51389.0,,,,,1969,100.0,Whole Building,Whole Building,,254.4,258.0,165.8,166.9,11.6,1.3,,,,,,,6544387.8,65443.9,1974625.2,596233.0,522.7,347.6,175.1,1443.7,Not found
86,"120 Broadway Holdings, LLC",,,Not found,Not found,Manhattan,Office,"Bank Branch, Convenience Store without Gas Station, Office, Other - Restaurant/Bar, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",Office,1858900.0,Bank Branch,32063.0,Other - Restaurant/Bar,17223.0,1915,95.0,Whole Building,Whole Building,86.0,164.7,168.1,66.3,69.3,12.8,0.0,,,,,,40817632.0,2077306.9,20773.1,83856768.2,24532245.0,10255.3,110.3,10144.9,20924.5,Not found
87,Mr.Bear LLC,,,Not found,Not found,Brooklyn,Multifamily Housing,Multifamily Housing,Multifamily Housing,47896.0,,,,,2006,95.0,Whole Building,Whole Building,98.0,68.3,72.5,48.6,52.1,2.5,0.4,,,,,,,1928817.1,20850.7,397580.5,119922.2,137.7,102.4,35.2,2227.9,Not found
88,Episcopal Church Center,,,Not found,Not found,Manhattan,Office,Office,Office,139824.0,,,,,1962,100.0,Whole Building,Whole Building,87.0,140.8,147.8,63.3,68.5,9.9,,,,,,,4182209.8,,,4667864.3,1383593.6,691.5,0.0,691.5,2948.4,Not found
89,Village Place Corporation,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,64377.0,,,,,1928,100.0,Whole Building,Whole Building,94.0,65.6,71.7,55.6,61.4,1.0,0.6,,,,,,,3358525.8,37319.3,222174.0,65115.5,198.1,178.4,19.7,196855.2,Not found
90,Wyndham Midtown 45,,,Not found,Not found,Manhattan,Hotel,"Hotel, Parking",Hotel,140105.0,Parking,1000.0,,,2002,100.0,Whole Building,Whole Building,7.0,191.1,189.6,103.8,103.2,11.4,0.6,,,,,,,9028200.0,90096.2,5509860.9,1597073.9,968.0,479.5,488.5,,Not found
91,Icon parking garage,,,Not found,Not found,Manhattan,College/University,College/University,College/University,26260.0,,,,,1920,100.0,Whole Building,Whole Building,,18.8,19.3,8.0,8.2,1.5,0.0,,,,,,,80209.1,802.1,130224.3,39420.7,15.8,4.3,11.5,2.1,Not found
