Order,Property Name,Parent Property Id,Parent Property Name,Street Number,Street Name,Borough,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),DOF Benchmarking Submission Status
666,1860 Morris Ave.,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,64800.0,,,,,1935,100.0,Whole Building,Whole Building,17.0,144.2,144.3,114.2,114.2,3.9,0.1,,,6006439.6,,,,520119.1,5201.2,870865.3,255568.7,557.1,479.8,77.2,5008.8,Not found
667,2256 Walton Ave.,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,37000.0,,,,,1920,100.0,Whole Building,,1.0,236.9,236.3,198.0,197.8,4.0,1.8,,,,,,,6812024.5,68120.2,513884.5,148496.5,407.4,361.8,45.6,,Not found
668,214 East 178th St.,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,28800.0,,,,,1959,100.0,Whole Building,,13.0,150.9,,114.7,,4.8,0.1,,,,,,,270445.5,2704.5,469553.6,138450.0,248.9,207.3,41.6,,Not found
669,2180 Grand Concourse,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,33600.0,,,,,1959,100.0,Whole Building,,16.0,145.7,,109.4,,4.8,0.1,,,,,,,261481.8,2614.8,550262.2,162861.3,278.3,229.5,48.8,,Not found
670,935 Ogden Ave.,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,22260.0,,,,,1939,100.0,Whole Building,,24.0,136.7,140.9,109.9,114.4,3.5,0.1,,,2051592.0,,,,128533.3,1294.3,266271.4,76924.2,184.9,161.3,23.6,,Not found
671,2355/57 Prospect Ave.,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,40500.0,,,,,1925,100.0,Whole Building,,3.0,178.4,178.3,146.3,146.6,4.1,0.1,,,5117445.5,,,,231928.1,2493.9,577277.2,166968.3,448.8,397.6,51.2,3161.2,Not found
672,"The Bukawyn Co., LLC",,,Not found,Not found,Queens,Multifamily Housing,Multifamily Housing,Multifamily Housing,50900.0,,,,,1950,100.0,Whole Building,,100.0,50.7,56.0,50.2,55.4,,,,2553897.0,,,,,,,,,189.5,189.5,0.0,,Not found
673,Gotham Tower,,,Not found,Not found,Queens,Office,"Office, Other, Parking",Office,651066.0,Parking,27433.0,Other,4200.0,2011,100.0,Whole Building,Whole Building,74.0,211.9,212.8,77.8,79.8,18.1,0.2,,,,,,,10174133.4,118401.3,40810504.9,11852700.1,4158.6,540.4,3618.2,8906.3,Not found
674,43-01 22nd Street Owners LLC,,,Not found,Not found,Queens,Mixed Use Property,"Manufacturing/Industrial Plant, Office, Other",Other,105000.0,Manufacturing/Industrial Plant,75000.0,Office,30260.0,1926,100.0,Whole Building,Whole Building,,59.2,63.4,35.7,39.9,3.2,0.0,,5208313.6,,,,,15916.7,159.2,2283717.6,669319.3,589.8,387.3,202.5,2022.1,Not found
675,LITTLE 40 WORTH ASSOC.,,,Not found,Not found,Manhattan,Office,Office,Office,735174.0,,,,,1929,100.0,Whole Building,Whole Building,83.0,173.0,177.2,78.7,83.0,12.8,0.0,,24910795.3,,,,,661753.1,6617.5,32269000.6,9440868.8,4744.7,1883.8,2861.0,17175.3,Not found
676,FRANGENE CO.,,,Not found,Not found,Manhattan,Office,Office,Office,57000.0,,,,,1909,100.0,Whole Building,,94.0,104.6,105.2,44.1,45.7,8.1,0.0,,906384.0,,,,,1506.1,17.1,1606132.2,463413.1,209.7,67.3,142.4,538.0,Not found
677,River Park Residences,,,Not found,Not found,Bronx,Multifamily Housing,"Convenience Store without Gas Station, Multifamily Housing, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Supermarket/Grocery Store",Multifamily Housing,1597950.0,Parking,182868.0,Supermarket/Grocery Store,12300.0,1973,100.0,Whole Building,Whole Building,38.0,160.6,166.7,110.4,116.2,6.3,0.9,,,,,,,143629691.3,1529968.0,34481331.4,10105899.0,10686.0,7628.9,3057.1,,Not found
678,1501 Broadway,,,Not found,Not found,Manhattan,Office,"Food Sales, Office, Other, Retail Store, Vocational School",Office,648951.0,Retail Store,31206.0,Food Sales,6470.0,1926,100.0,Whole Building,Whole Building,57.0,248.2,250.2,121.1,124.6,16.9,0.3,,21085296.0,,,,,22174048.4,221740.5,40366755.0,11681703.7,6321.4,2742.5,3578.9,19955.6,Not found
679,FORTY SEVENTH FIFTH COMPANY,,,Not found,Not found,Manhattan,Office,"Office, Other",Office,343328.0,Other,103000.0,,,1927,100.0,Whole Building,Whole Building,69.0,238.6,242.5,101.8,106.4,18.6,0.0,,16960200.1,,,,,2825.8,28.3,28465994.8,8291856.4,3782.5,1258.7,2523.8,,Not found
680,Pantco/Pantzer - 370 Columbus Ave,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,31125.0,,,,,1910,90.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,Not found
681,Baronsgate Towers LLC,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,67500.0,,,,,1900,100.0,Whole Building,Whole Building,55.0,110.8,120.7,102.2,111.5,0.5,1.1,,,,,,,6789006.5,74145.2,112676.6,33673.1,370.6,360.6,10.0,10102.4,Not found
682,Hanza Realty LLC,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,54430.0,,,,,1900,100.0,Whole Building,Whole Building,71.0,99.6,99.6,91.9,91.9,0.4,0.9,,,,,,,4922167.4,49221.7,80610.2,23625.5,268.6,261.4,7.1,7839.0,Not found
683,Dunmore Realty LLC,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,51780.0,,,,,1900,100.0,Whole Building,Whole Building,73.0,98.4,104.3,92.1,97.9,0.7,,,,4640575.2,,,,,,129739.2,38309.9,360.9,349.4,11.5,6185.0,Not found
684,Violet Towers Inc,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,52200.0,,,,,1900,100.0,Whole Building,Whole Building,78.0,93.8,102.2,83.9,91.8,0.8,0.9,,,,,,,4233010.3,46494.1,144151.5,42248.4,237.6,224.8,12.8,4720.2,Not found
685,Somerset Towers LLC,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,60000.0,,,,,1924,85.0,Whole Building,Whole Building,55.0,111.3,123.4,104.4,116.3,0.8,0.0,,,6081483.8,,,,18260.0,182.6,163853.8,48628.5,473.4,458.8,14.5,7906.5,Not found
686,Baronsgate Towers LLC,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,67500.0,,,,,1900,100.0,Whole Building,Whole Building,55.0,110.8,120.7,102.2,111.5,0.5,1.1,,,,,,,6789006.5,74145.2,112676.6,33673.1,370.6,360.6,10.0,10102.4,Not found
687,Hanza Realty LLC,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,54430.0,,,,,1900,100.0,Whole Building,Whole Building,71.0,99.6,99.6,91.9,91.9,0.4,0.9,,,,,,,4922167.4,49221.7,80610.2,23625.5,268.6,261.4,7.1,7839.0,Not found
688,Dunmore Realty LLC,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,51780.0,,,,,1900,100.0,Whole Building,Whole Building,73.0,98.4,104.3,92.1,97.9,0.7,,,,4640575.2,,,,,,129739.2,38309.9,360.9,349.4,11.5,6185.0,Not found
689,Violet Towers Inc,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,52200.0,,,,,1900,100.0,Whole Building,Whole Building,78.0,93.8,102.2,83.9,91.8,0.8,0.9,,,,,,,4233010.3,46494.1,144151.5,42248.4,237.6,224.8,12.8,4720.2,Not found
690,Somerset Towers LLC,,,Not found,Not found,Bronx,Multifamily Housing,Multifamily Housing,Multifamily Housing,60000.0,,,,,1924,85.0,Whole Building,Whole Building,55.0,111.3,123.4,104.4,116.3,0.8,0.0,,,6081483.8,,,,18260.0,182.6,163853.8,48628.5,473.4,458.8,14.5,7906.5,Not found
691,Greendoor Realty Corp,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,41170.0,,,,,1909,100.0,Whole Building,Whole Building,85.0,106.6,115.8,96.2,104.9,0.8,1.0,,276000.0,,,,,3568961.4,39284.4,115914.3,33972.5,220.3,210.0,10.3,3331.1,Not found
692,Nealco Towers LLC,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,46182.0,,,,,1920,100.0,Whole Building,Whole Building,91.0,105.0,112.4,91.3,98.3,1.3,0.9,,,,,,,4012730.2,43367.0,202282.0,59285.4,231.1,213.1,17.9,4811.5,Not found
693,Sharam Realty Corp,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,46182.0,,,,,1920,100.0,Whole Building,Whole Building,87.0,109.8,119.3,98.3,107.3,0.9,1.0,,,,,,,4394481.8,48117.8,145483.3,42638.7,246.3,233.4,12.9,6066.7,Not found
694,Monrose Realty Corp,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,43932.0,,,,,1920,100.0,Whole Building,Whole Building,80.0,114.6,123.2,101.8,110.0,1.1,1.1,,,,,,,4308290.8,46682.0,163267.2,47850.9,243.3,228.8,14.5,4795.0,Not found
695,Diamond Clove INC,,,Not found,Not found,Manhattan,Multifamily Housing,Multifamily Housing,Multifamily Housing,43932.0,,,,,1920,100.0,Whole Building,,87.0,108.0,116.6,95.9,104.1,1.0,1.0,,,,,,,4058981.9,44191.7,153224.8,44907.6,229.2,215.6,13.6,,Not found
696,162-168 W87 (Capitol Hall),,,Not found,Not found,Manhattan,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,92880.0,Office,4520.0,,,1914,100.0,Whole Building,Whole Building,,76.6,79.8,53.9,56.5,2.9,0.5,,,,,,,4316503.1,45468.7,933813.2,279915.5,312.1,229.3,82.8,,Not found
697,595 Columbus Phelps House,,,Not found,Not found,Manhattan,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,221760.0,Office,10512.0,,,1983,100.0,Whole Building,Whole Building,80.0,87.6,90.5,56.4,59.5,3.9,0.5,,,,,,,9934252.8,106930.0,3158537.4,913867.4,807.7,527.7,280.0,10987.0,Not found
698,20 East 9th Street Corp.,,,Not found,Not found,Manhattan,Multifamily Housing,"Financial Office, Medical Office, Multifamily Housing, Retail Store, Supermarket/Grocery Store",Multifamily Housing,436154.0,Retail Store,24345.0,Financial Office,7588.0,1965,100.0,Whole Building,,,106.7,106.4,77.4,77.1,3.6,0.6,,,,,,,30887053.9,307279.1,5766572.0,1696074.5,2151.8,1640.6,511.3,14873.5,Not found
699,575 5th Ave,,,Not found,Not found,Manhattan,Office,"Office, Retail Store",Office,525100.0,Retail Store,20182.0,,,1983,45.0,Whole Building,Whole Building,,122.4,123.9,44.7,46.0,10.4,,,,,,,5070182.5,,,19307702.4,5658763.2,2048.5,0.0,2048.5,6370.1,Not found
